Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DNI,DHI,Relative Humidity,Wind Speed
2023,1,8,9,30,-1.8,0,0,0,93.24,2.4000000000000004
2023,1,8,10,30,-2,0,0,0,92.52,2.4000000000000004
2023,1,8,11,30,-2,0,0,0,90.58,2.4000000000000004
2023,1,8,12,30,-0.9,17,201,13,80.93,2.6
2023,1,8,13,30,0.6000000000000001,157,696,35,72.59,2.6
2023,1,8,14,30,1.9000000000000001,305,850,45,61.99,2.3000000000000003
2023,1,8,15,30,3,417,918,51,55.300000000000004,1.7000000000000002
2023,1,8,16,30,3.8000000000000003,474,937,54,50.84,0.9
2023,1,8,17,30,4.3,346,353,187,48.160000000000004,0.6000000000000001
2023,1,8,18,30,4.4,275,193,197,49.64,0.7000000000000001
2023,1,8,19,30,3.7,175,69,153,55.93,1
2023,1,8,20,30,2.2,85,18,82,75.84,1.2000000000000002
2023,1,8,21,30,0.9,13,1,13,80.14,1.6
2023,1,8,22,30,0.7000000000000001,0,0,0,79.86,1.8
2023,1,8,23,30,0.8,0,0,0,81.04,1.9000000000000001
2023,1,9,0,30,1,0,0,0,82.84,2
2023,1,9,1,30,1.1,0,0,0,84.86,2.1
2023,1,9,2,30,1.1,0,0,0,86.75,2.2
2023,1,9,3,30,1.1,0,0,0,89.27,2.3000000000000003
2023,1,9,4,30,1.3,0,0,0,90.83,2.1
2023,1,9,5,30,1.6,0,0,0,91.99,1.9000000000000001
2023,1,9,6,30,1.7000000000000002,0,0,0,94.9,1.8
2023,1,9,7,30,1.7000000000000002,0,0,0,97.66,1.7000000000000002
2023,1,9,8,30,1.5,0,0,0,98.94,1.6
2023,1,9,9,30,1.3,0,0,0,98.85000000000001,1.6
2023,1,9,10,30,1,0,0,0,98.76,1.5
2023,1,9,11,30,0.9,0,0,0,97.24000000000001,1.2000000000000002
2023,1,9,12,30,1.6,3,0,3,91.33,1.2000000000000002
2023,1,9,13,30,3,31,0,31,86.55,1.5
2023,1,9,14,30,4.3,204,165,153,80.51,2
2023,1,9,15,30,5.2,397,821,68,72.59,2.3000000000000003
2023,1,9,16,30,5.9,460,868,69,67.24,2.6
2023,1,9,17,30,6.300000000000001,466,883,66,64.56,3
2023,1,9,18,30,6.300000000000001,416,869,61,64.09,3.2
2023,1,9,19,30,5.800000000000001,314,817,53,65.99,3.3000000000000003
2023,1,9,20,30,4.1000000000000005,173,687,41,74.84,3.1
2023,1,9,21,30,2.3000000000000003,27,259,17,83.13,3
2023,1,9,22,30,1.4000000000000001,0,0,0,85.23,3
2023,1,9,23,30,0.9,0,0,0,86.57000000000001,2.9000000000000004
2023,1,10,0,30,0.5,0,0,0,88.46000000000001,2.8000000000000003
2023,1,10,1,30,0.2,0,0,0,90.88,2.7
2023,1,10,2,30,0.1,0,0,0,92.44,2.8000000000000003
2023,1,10,3,30,0.1,0,0,0,93.66,3
2023,1,10,4,30,-0.1,0,0,0,95.85000000000001,3.1
2023,1,10,5,30,-0.2,0,0,0,96.29,3
2023,1,10,6,30,-0.30000000000000004,0,0,0,95.63,2.9000000000000004
2023,1,10,7,30,-0.5,0,0,0,95.92,2.7
2023,1,10,8,30,-0.6000000000000001,0,0,0,96.08,2.6
2023,1,10,9,30,-0.6000000000000001,0,0,0,95.77,2.5
2023,1,10,10,30,-0.6000000000000001,0,0,0,95.28,2.5
2023,1,10,11,30,-0.30000000000000004,0,0,0,93.39,2.6
2023,1,10,12,30,0.7000000000000001,3,0,3,87.56,2.7
2023,1,10,13,30,2.5,18,0,18,80.21000000000001,2.7
2023,1,10,14,30,4.1000000000000005,58,0,58,72.85000000000001,2.5
2023,1,10,15,30,5.1000000000000005,79,0,79,66.09,2.4000000000000004
2023,1,10,16,30,5.5,99,0,99,64.05,2.3000000000000003
2023,1,10,17,30,5.6000000000000005,113,5,111,64.03,2.1
2023,1,10,18,30,5.300000000000001,90,2,89,66.44,1.9000000000000001
2023,1,10,19,30,4.6000000000000005,68,4,67,73.89,1.5
2023,1,10,20,30,3.7,4,0,4,84.14,1.3
2023,1,10,21,30,3.1,9,0,9,81.94,1.4000000000000001
2023,1,10,22,30,2.8000000000000003,0,0,0,82.15,1.4000000000000001
2023,1,10,23,30,2.6,0,0,0,82.77,1.4000000000000001
2023,1,11,0,30,2.4000000000000004,0,0,0,83.59,1.4000000000000001
2023,1,11,1,30,2.2,0,0,0,84.95,1.5
2023,1,11,2,30,2.1,0,0,0,85.63,1.7000000000000002
2023,1,11,3,30,1.9000000000000001,0,0,0,85.85000000000001,1.9000000000000001
2023,1,11,4,30,1.5,0,0,0,86.9,2
2023,1,11,5,30,1,0,0,0,87.44,2.2
2023,1,11,6,30,0.4,0,0,0,87.89,2.3000000000000003
2023,1,11,7,30,0,0,0,0,87.99,2.4000000000000004
2023,1,11,8,30,-0.2,0,0,0,87.34,2.5
2023,1,11,9,30,-0.4,0,0,0,86.15,2.7
2023,1,11,10,30,-0.7000000000000001,0,0,0,86.95,2.7
2023,1,11,11,30,-0.8,0,0,0,86.17,2.6
2023,1,11,12,30,-0.2,3,0,3,80.85000000000001,2.7
2023,1,11,13,30,1,50,0,50,71.98,2.7
